Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,param_count,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations,DONE
TBD,TBD,fastvit_t12.apple_dist_in1k,256,80.364,72,72,974.3625963,75453431,342436.365,7.55,7553704,1402723752,7553704,1420011688,77572192,TRUE
TBD,TBD,fastvit_t12.apple_in1k,256,79.276,72,56,976.6686973,58530719.74,342649.0775,7.55,7553704,1402723752,7553704,1420011688,77572192,TRUE
TBD,TBD,fastvit_t8.apple_dist_in1k,256,77.172,106,104,1440.230251,73651079.33,231918.0483,4.03,4026232,693502264,4026232,705486712,54247984,TRUE
TBD,TBD,fastvit_t8.apple_in1k,256,76.184,106,96,1433.017782,68747751.38,234846.7751,4.03,4026232,693502264,4026232,705486712,54247984,TRUE
TBD,TBD,fbnetc_100.rmsp_in1k,224,75.114,142,136,2970.754612,47058009.6,114234.9001,5.57,5572200,384961160,5572200,396743112,31752112,TRUE
TBD,TBD,fbnetv3_b.ra2_in1k,256,79.154,66,66,1831.613102,36034714.7,180303.8418,8.6,8598464,530641776,8598464,528828808,46294432,TRUE
TBD,TBD,fbnetv3_b.ra2_in1k,224,78.16,86,85,2315.041569,36716486.25,143165.4446,8.6,8598464,407518416,8598464,405665128,35451592,TRUE
TBD,TBD,fbnetv3_d.ra2_in1k,256,79.664,52,52,1549.530032,33558611.09,211522.2749,10.31,10306272,653874128,10306272,652073448,56162944,TRUE
TBD,TBD,fbnetv3_d.ra2_in1k,224,78.656,68,68,1966.836426,34573343.36,167802.9552,10.31,10306272,501983168,10306272,500139288,43008304,TRUE
TBD,TBD,fbnetv3_g.ra2_in1k,288,82.04,28,28,723.1025235,38722107.08,457575.933,16.62,16623888,1722812112,16623888,1721107048,107884904,TRUE
TBD,TBD,fbnetv3_g.ra2_in1k,240,81.252,38,38,1044.574915,36378570.22,317438.5868,16.62,16623888,1253603376,16623888,1251839560,76068848,TRUE
TBD,TBD,flexivit_base.1200ep_in1k,240,84.688,52,48,332.0535481,144558677,1003859.754,86.59,86589160,218708200,86589160,13912760104,72205520,TRUE
TBD,TBD,flexivit_base.300ep_in1k,240,84.402,52,32,309.8181524,104782431.2,1095120.836,86.59,86589160,218708200,86589160,13912760104,72205520,TRUE
TBD,TBD,flexivit_base.600ep_in1k,240,84.56,52,36,268.6206112,135449230.4,1260401.579,86.59,86589160,218708200,86589160,13912760104,72205520,TRUE
TBD,TBD,flexivit_large.1200ep_in1k,240,85.644,16,16,76.00711308,211976766,4457687.968,304.36,304355304,480514024,304355304,48297211368,190694352,TRUE
TBD,TBD,flexivit_large.300ep_in1k,240,85.282,16,16,75.88510026,212378770.9,4468117.064,304.36,304355304,480514024,304355304,48297211368,190694352,TRUE
TBD,TBD,flexivit_large.600ep_in1k,240,85.53,16,16,75.42628714,213769579,4486424.088,304.36,304355304,480514024,304355304,48297211368,190694352,TRUE
TBD,TBD,flexivit_small.1200ep_in1k,240,82.592,108,48,838.658229,58676527.75,409204.4946,22.06,22061416,88120936,22061416,3757175176,36103760,TRUE
TBD,TBD,flexivit_small.300ep_in1k,240,82.17,108,96,835.7148075,116995396.8,409332.523,22.06,22061416,88120936,22061416,3757175176,36103760,TRUE
TBD,TBD,flexivit_small.600ep_in1k,240,82.392,108,96,853.5833311,113893872.5,397855.6847,22.06,22061416,88120936,22061416,3757175176,36103760,TRUE
TBD,TBD,focalnet_base_lrf.ms_in1k,224,83.828,22,22,277.4886814,81103357.7,1235504.865,88.75,88749768,15425578512,88749768,15469201680,140458440,TRUE
TBD,TBD,focalnet_base_srf.ms_in1k,224,83.808,26,10,306.6627916,33583378.33,1125302.151,88.15,88148144,15270021446,88148144,15307422790,131114238,TRUE
TBD,TBD,focalnet_small_lrf.ms_in1k,224,83.508,32,28,400.314477,71743393.67,852439.01,50.34,50342440,8736860752,50342440,8769578128,105356296,TRUE
TBD,TBD,focalnet_small_srf.ms_in1k,224,83.43,34,12,394.9309973,30641606.61,786026.8541,49.89,49891216,8620190086,49891216,8648241094,98345278,TRUE
TBD,TBD,focalnet_tiny_lrf.ms_in1k,224,82.174,52,44,877.9035186,50119518.74,378783.3245,28.65,28647928,4488330640,28647928,4508412880,65602888,TRUE
TBD,TBD,focalnet_tiny_srf.ms_in1k,224,82.144,58,56,977.685573,57278204.05,337691.298,28.43,28427116,4416820726,28427116,4434042934,61303726,TRUE
