Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,param_count,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations,DONE
TBD,TBD,regnetx_016,224,79.44,8,8,14.45011056,69185609.12,157393.4893,9.146632,9146632,1602850792,9190136,1617840872,49051424,TRUE
TBD,TBD,regnetx_032,224,80.196,8,8,10.68497892,93560335.17,238075.1007,15.233992,15233992,3176622952,15296552,3198283304,71259296,TRUE
TBD,TBD,regnety_016,224,80.668,8,8,14.787646,67606589.1,154514.5276,11.149758,11149758,1612087326,11202430,1627537418,50601170,TRUE
TBD,TBD,regnety_032,224,81.788,8,8,9.35398856,106873963.4,249020.6257,19.370178,19370178,3176496162,19436338,3197984486,70559870,TRUE
TBD,TBD,dla34,224,74.632,8,8,15.2783398,65434936.28,159677.8532,15.742104,15742104,3060060264,15742104,3081520104,19962040,TRUE
TBD,TBD,dla60,224,78.234,8,8,10.18316389,98175571.66,219313.1166,22.036632,22036632,4235920488,22036632,4278930408,39895992,TRUE
TBD,TBD,dla102,224,78.016,8,8,6.47829045,154319615.9,340325.7624,33.268888,33268888,7164618856,33268888,7224863720,58862520,TRUE
TBD,TBD,dla169,224,78.702,8,8,5.561927,179745782.2,480100.0337,53.38972,53389720,11557670248,53389720,11643161576,87061432,TRUE
TBD,TBD,dpn68,224,76.304,8,8,14.6534721,68226634.39,150029.3814,12.546486,12546486,2326164456,12611602,2350932584,61113592,TRUE
TBD,TBD,dpn92,224,80.032,8,8,6.5059262,153669222.2,331613.718,37.543176,37543176,6501685224,37668392,6545125096,109887096,TRUE
TBD,TBD, dpn98,224,79.664,8,8,4.1598777,240326755.4,581563.0434,61.405832,61405832,11671218152,61570728,11731366632,149385016,TRUE
TBD,TBD,dpn107,224,80.166,8,8,3.539334,282465746.5,725500.3688,86.703976,86703976,18298765288,86917800,18384396904,208514296,TRUE
TBD,TBD,senet154,224,81.258,8,8,3.0785112,324758866.6,808414.6988,115.088984,115088984,20688662936,115088984,20843364856,172116192,TRUE
TBD,TBD,seresnet50,288,81.114,8,8,11.400833,87685936.01,197737.5021,28.088024,28088024,4091769368,28088024,4134969848,48887520,TRUE
TBD,TBD,seresnet101,224,78.37,8,8,7.099192,140817769.4,313239.1115,49.326872,49326872,7806289496,49326872,7869911736,72809376,TRUE
TBD,TBD,seresnext50_32x4d,224,79.08,8,8,7.6493101,130690148.2,388908.4242,27.559896,27559896,4233080088,27559896,4289411576,61506784,TRUE
TBD,TBD,skresnet18,224,73.02,8,8,24.3516638,41054545,96728.41335,11.946536,11946536,1814340968,11958056,1824073704,18577104,TRUE
TBD,TBD,skresnet34,224,76.956,8,8,13.7362876,72779675.98,162677.9277,22.25972,22259720,3664241480,22282376,3677737896,31129248,TRUE
TBD,TBD,skresnext50_32x4d,224,80.168,8,8,5.9672224,167541621.1,466240.4426,27.404264,27404264,4462720808,27479784,4500446568,102248688,TRUE
TBD,TBD,nfnet_l0,288,82.766,8,8,76.94637383,12992786.6,60715.18499,35.074488,35074488,4265563816,35074488,25272872,34623712,TRUE
TBD,TBD,xception,299,79.058,8,8,7.72101766,129499838.5,180824.6092,22.855952,22855952,4552934600,22855952,4599423560,54073904,TRUE
